Date	Time	ms	ID1_SUN1_X	ID1_SUN1_Y	ID1_SUN2_X	ID1_SUN2_Y	ID1_SUN3_X	ID1_SUN3_Y	ID1_ADC_RTC_S	ID1_ADC_RTC_SS	ID1_MagTl_X	ID1_MagTl_Y	ID1_MagTl_Z
11.08.2017	14:18:31	707	-32768	-32768	-32768	-32768	120	80	1502461119	190	-9559	30957	-27569
11.08.2017	15:56:16	363	21	84	-32768	-32768	-32768	-32768	1502466983	165	-5742	22063	-35601
11.08.2017	15:56:52	311	20	-32768	-32768	-32768	-32768	-32768	1502467019	149	-8179	23258	-34476
12.08.2017	11:47:26	127	136	61	-32768	-32768	-32768	-32768	1502538443	177	-1333	22193	-33714
12.08.2017	11:47:34	73	137	60	-32768	-32768	-32768	-32768	1502538451	160	-1196	22181	-33914
12.08.2017	11:48:12	22	141	59	-32768	-32768	-32768	-32768	1502538489	155	-1466	22510	-34414
12.08.2017	11:48:25	72	143	58	-32768	-32768	-32768	-32768	1502538502	154	-1463	22681	-34335
12.08.2017	11:48:27	504	144	59	-32768	-32768	-32768	-32768	1502538505	151	-1106	22829	-34630
12.08.2017	15:00:16	161	-32768	-32768	-32768	-32768	-32768	-32768	1502550012	229	-8169	24308	-33786
12.08.2017	15:00:30	362	-32768	-32768	-32768	-32768	-32768	-32768	1502550027	26	-7412	24523	-33838
12.08.2017	15:00:32	795	-32768	-32768	-32768	-32768	-32768	-32768	1502550029	135	-7287	24572	-33842
12.08.2017	15:00:33	581	-32768	-32768	-32768	-32768	-32768	-32768	1502550030	79	-7252	24569	-33840
12.08.2017	15:00:39	353	-32768	-32768	-32768	-32768	-32768	-32768	1502550036	16	-6871	24697	-33864
12.08.2017	15:00:58	520	-32768	-32768	-32768	-32768	-32768	-32768	1502550055	61	-5509	25147	-33869
12.08.2017	16:35:36	759	-32768	-32768	-32768	-32768	-32768	-32768	1502555732	190	-3876	26654	-31479
12.08.2017	16:37:39	538	-32768	-32768	-32768	-32768	-32768	-32768	1502555855	128	-2430	29192	-28946
13.08.2017	12:29:14	893	103	116	-32768	-32768	-32768	-32768	1502627334	68	-4402	25559	-32124
13.08.2017	12:29:34	488	102	116	-32768	-32768	-32768	-32768	1502627353	92	-4556	25544	-32507
13.08.2017	12:29:36	919	101	117	-32768	-32768	-32768	-32768	1502627356	75	-4647	25554	-32659
